Title,Album,Artist,Genre,Year,Link,Date Added,Discovery Source,Notes,Known Issues
Us (Polar Remix),Us,Nora En Pure,House,2022,https://www.youtube.com/watch?v=9Aj0BHGVtuc,2022-09-27,Heldeep Radio #415,,
Shot Caller,Promesses / Shot Caller,Tchami,House,2014,https://www.youtube.com/watch?v=IvQXvgDfu_c,2022-09-27,DJ Club,,Wrong album art
Believer (Marsh's Guatape Remix),Group Therapy 337,Above & Beyond,House,2022,https://www.youtube.com/watch?v=Ftq0MEj-fFQ,2022-09-27,Heldeep Radio #395,,
Losing Sleep ft. Helen,Losing Sleep ft. Helen,Curbi,House,2022,https://www.youtube.com/watch?v=0zLP768rOEk,2022-09-27,Heldeep Radio #395,,
Say Yeah,Say Yeah,James Hype,House,2022,https://www.youtube.com/watch?v=0Ym5AlSHJ88,2022-09-27,Heldeep Radio #395,,
I Want U,I Want U,MorganJ,House,2022,https://www.youtube.com/watch?v=W9W22cXE31c,2022-09-27,Heldeep Radio #395,,
Shake and Bounce,Shake and Bounce,Wade,House,2022,https://www.youtube.com/watch?v=b155yIudApM,2022-09-27,Heldeep Radio #395,,
Age of Love (ARTBAT Rave Mix),Age of Love,ARTBAT & Pete Tong,Techno,2021,https://www.youtube.com/watch?v=5Xp_xib-8pU,2022-09-27,Heldeep Radio #395,,
Addicted,Believe,Eli Brown,Techno,2022,https://www.youtube.com/watch?v=RugJiBC616w,2022-09-27,Heldeep Radio #395,,
Ready To Go,Ready To Go,Sagi Kariv & Micky Friedmann,House,2021,https://www.youtube.com/watch?v=UO_TjJxaEwA,2022-09-27,SoundCloud,,
I Am Ready,I Am Ready,Marten Hørger,House,2020,https://www.youtube.com/watch?v=Rpni-iP4T98,2022-09-27,Grant,,
Wetlands,Wetlands,Nora En Pure,House,2020,https://www.youtube.com/watch?v=p_4DSsTOTrE,2022-09-27,YouTube,,
Monsoon,Monsoon,Nora En Pure,House,2021,https://www.youtube.com/watch?v=_gJWRMMIQV8,2022-09-27,YouTube,,
Cognitive Fadings,Monsoon,Nora En Pure,House,2021,https://www.youtube.com/watch?v=e3XENJxYon4,2022-09-27,YouTube,,
Anøther Dimensiøn,Anøther Dimensiøn,Marten Hørger,House,2019,https://www.youtube.com/watch?v=jvc0ifXwuIA,2022-09-27,YouTube,,
ØUT ØF THE WØRLD,ØUT ØF THE WØRLD / ALL ALØNE,Marten Hørger,House,2021,https://www.youtube.com/watch?v=p9a7s6vF1xk,2022-09-27,YouTube,,
Forever with Us,Forever with Us,Deviu,Techno,2021,https://www.youtube.com/watch?v=DCRY6YqX_kw,2022-09-27,YouTube,,
Into The Wild ft. Diana Miro (Deviu Remix),Into The Wild,Jackarta,House,2021,https://www.youtube.com/watch?v=iX8ffoqTJt8,2022-09-27,YouTube,,
Arosa,Arosa EP,Alex Breitling,House,2020,https://www.youtube.com/watch?v=ISTEWNMGImI,2022-09-27,YouTube,,
Sunshine,Sunshine,Wh0,House,2022,https://www.youtube.com/watch?v=KrsjOwIc0mI,2022-09-28,Heldeep Radio #412,,
Can You Feel It,Can You Feel It,Jaded,House,2022,https://www.youtube.com/watch?v=UtE2fBY88t4,2022-09-28,Heldeep Radio #412,,
Under The Sun,Under The Sun,Franky Wah & AR/CO,House,2022,https://www.youtube.com/watch?v=NEWcbI6uCbQ,2022-09-28,Heldeep Radio #412,,
Nightmares,Nightmares,Chris Lake and Cloonee,House,2022,https://www.youtube.com/watch?v=vmFdHQ_c_oY,2022-09-28,Heldeep Radio #412,,
Talamanca (Carl Cox Remix),Talamanca,Burns,Techno,2021,https://www.youtube.com/watch?v=HYosd9LkxOg,2022-09-28,Heldeep Radio #412,,
The Parade,The Parade,Joel Corry & Da Hool,House,2022,https://www.youtube.com/watch?v=QuhCsNtCY40,2022-09-28,DJ Club,,
WTF,WTF,Hi-Lo & Sander van Doorn,Techno,2016,https://www.youtube.com/watch?v=A3T-aoULf_8,2022-09-28,DJ Club,,
Aquarius,Aquarius,Oliver Heldens,House,2019,https://www.youtube.com/watch?v=WK4F9LbT6i0,2022-09-28,DJ Club,,
Da Fonk ft. Joni,Da Fonk,Mochakk,House,2022-07-01,https://www.youtube.com/watch?v=6gq-MlQGkOY,2022-09-28,DJ Club,,
Tantra,Ghost Planet,ATLiens,Dub Step,2019,https://www.youtube.com/watch?v=s8fsDKhvRpI,2022-09-28,DJ Club,,
Soul Sacrifice,Soul Sacrifice,Dombresky,House,2019,https://www.youtube.com/watch?v=RGpn_VizEBw,2022-09-28,DJ Club,,
"World, Hold On ft. Steve Edwards (Fisher Remix)",Western Dream,Bob Sinclar,House,2022,https://www.youtube.com/watch?v=zFInOs6-9sc,2022-09-28,DJ Club,,
Lonely Mountain,Calamari Tuesday,Feed Me,House,2013,https://www.youtube.com/watch?v=kssFMQEPQ_g,2022-09-28,DJ Club,,
Star Wars,Star Wars,Ookay,House,2013,https://www.youtube.com/watch?v=v83eOYu9Ad8,2022-09-28,DJ Club,Free download on soundcloud,No album art
Sail (Feed Me Remix),Megalithic Symphony,AWOLNATION,House,2011,https://www.youtube.com/watch?v=VbE6hH11_GQ,2022-09-28,DJ Club,,
Deep End (SIDEPIECE Remix),Deep End,John Summit,House,2020,https://www.youtube.com/watch?v=i1YLcqMd1qo,2022-09-28,DJ Club,,
Fight For Your Right (Hi-Lo Remix),Fight For Your Right,Reinier Zonneveld & Bestie Boys & Saw of Olympus,Techno,2022,https://www.youtube.com/watch?v=ES-UxtDYwfc,2022-09-28,DJ Club,Not yet available to purchase,No album art
Strut,Strut,"Odd Mob, OMNOM, & Roland Clark",House,2022,https://www.youtube.com/watch?v=FCt7dy8WGVI,2022-09-28,DJ Club,,no album art
Toca ft. Timmy Trumpet and KSHMR,Papi Gordo,Carnage,House,2015,https://www.youtube.com/watch?v=u-jrWqdH344,2022-09-28,DJ Club,,
Wild,Wild,Ben Kim & Piero Pirupa,House,2022,https://www.youtube.com/watch?v=NgYmRGmExKk,2022-09-28,DJ Club,,
Sextacy,Sextacy,SIDEPIECE,House,2022,https://www.youtube.com/watch?v=fuckwp5ahRs,2022-09-28,DJ Club,,
Step-Grandma,Step-Grandma,Salvatore Ganacci,House,2021,https://www.youtube.com/watch?v=StYkb5kbM3o,2022-09-28,DJ Club,,
Cry (Just A Little),Cry (Just A Little),Bingo Players,House,2011,https://www.youtube.com/watch?v=jg_jMiRHpp0,2022-09-28,DJ Club,,
Bangarang ft. Sirah,Bangarang,Skrillex,House,2011,https://www.youtube.com/watch?v=cR2XilcGYOo,2022-09-28,DJ Club,,
Coke Diet,Coke Diet,Scotty Boy & Lorenzo,House,2013,https://www.youtube.com/watch?v=Lm1c4UXaEIU,2022-09-28,DJ Club,,No album art
Promesses ft. Kaleem Taylor,Promesses / Shot Caller,Tchami,House,2014,https://www.youtube.com/watch?v=iPioLizQKuc,2022-09-28,Album,,Downbeat in rekordbox is wrong because of a small piece of sound at the start of the song
Industria,Industria,Hi-Lo & Eli Brown,Techno,2022,https://www.youtube.com/watch?v=P7uhrhk2bfo,2022-09-29,Youtube,,
Escape ft. Kx5 & Hayla (John Summit Remix),Escape,deadmau5 & Kaskade,House,2022,https://www.youtube.com/watch?v=P6LSIBpCzrc,2022-09-30,Heldeep Radio #415,,
Forever ft. BROODS,Forever,Flight Facilities,House,2021,https://www.youtube.com/watch?v=LbDprMno3bo,2022-09-30,,,
Good Ones (Joel Corry Remix),Good Ones,Charli XCX,House,2021,https://www.youtube.com/watch?v=cC7BihBck1c,2022-09-30,Heldeep Radio #382,,
Thin Line,Thin Line,John Summit & Guz,House,2020,https://www.youtube.com/watch?v=REbmhUtzklE,2022-09-30,DJ Club,,
Shiver,Shiver,Leftwing : Kody & Jem Cooke,House,2021,https://www.youtube.com/watch?v=9884lEqxkWk,2022-09-30,Heldeep Radio #382,,
Lifting,Lifting,Matroda,House,2021,https://www.youtube.com/watch?v=BapyNhmqV8Q,2022-09-30,Grant,,
The Calling,The Calling,Tchami & Marten Hørger,House,2022,https://www.youtube.com/watch?v=nfLJPcOIiNs,2022-09-30,Grant,,
Money,Money,Tiësto & Killfake,House,2021,https://www.youtube.com/watch?v=PDXc6AQHBFY,2022-09-30,Heldeep Radio #382,,
Pump The Move (Bart Skils Groove Mix),Re:Generate,E-Dancer & Kevin Saunderson,Techno,2021,https://www.youtube.com/watch?v=wcaOmFtgpOQ,2022-09-30,Heldeep Radio #382,,
Distance,Distance,Mark Reeve,Techno,2020,https://www.youtube.com/watch?v=wJruJTXraGw,2022-09-30,Heldeep Radio #382,,
Human ft. Echoes,Human,John Summit,House,2021,https://www.youtube.com/watch?v=6mn7OonJfk4,2022-09-30,Youtube,,
Adieu,Adieu,Tchami,House,2017,https://www.youtube.com/watch?v=kr0_YzOQf5A,2022-10-01,Grant,,
Believe In Ghosts,Believe In Ghosts,Oliver Heldens & Warner Case,House,2022,https://www.youtube.com/watch?v=cA_dwvqmOjc,2022-10-01,Grant,,
Comoros,Comoros,Klangkarussell,House,2019,https://www.youtube.com/watch?v=psmk-6PXkVw,2022-10-01,DJ Club,,
Gecko (Overdrive),Gecko,Oliver Heldens & Becky Hill,House,2014,https://www.youtube.com/watch?v=jjx2oc2NRzA,2022-10-01,Grant,,
Gotta Be Big,Gotta Be Big,Disfreq,Techno,2022,https://www.youtube.com/watch?v=9OsJCiAEDX0,2022-10-01,DJ Club,,
House Arrest,House Arrest,Sofi Tukker & Gorgon City,House,2020,https://www.youtube.com/watch?v=8oSKC_OFFrY,2022-10-01,Grant,,
I Don't Wanna Go Home,I Don't Wanna Go Home,Oliver Heldens,House,2017,https://www.youtube.com/watch?v=XV72n--1kzo,2022-10-01,Grant,,
Love Like That ft. Dani Poppitt,EP,Kaskade,House,2020,https://www.youtube.com/watch?v=5FxApI3ts4I,2022-10-01,DJ Club,,
Nobody Else,Nobody Else,Axwell,House,2018,https://www.youtube.com/watch?v=w1dvYCoIx8w,2022-10-01,DJ Club,,
Summer 99,No Redemption - EP,Tchami & Malaa,House,2018,https://www.youtube.com/watch?v=oB9Rjfli8lI,2022-10-01,DJ Club,,
Take A Step Back,Take A Step Back,Dr. Fresch & Marten Hørger,House,2020,https://www.youtube.com/watch?v=4sZNc9lkqvI,2022-10-01,Grant,,
